original_language,runtime,popularity,vote_average,Num_genres,Num_keywords,Num_production_companies,Num_production_countries,Num_spoken_languages,Num_overview_words,Num_tagline_words,Num_Departments,Num_Cast,Num_Crew,Year,Month,Day,Is_profitable
4,183.0,34.20669,6.6,3,12,2,1,3,62,13,11,101,114,2001,5,21,1
4,144.0,25.468493,6.6,3,8,9,1,2,42,4,10,38,41,2007,6,27,1
4,175.0,39.019229,5.6,6,10,8,6,1,39,7,11,51,167,2004,11,21,1
4,138.0,78.144395,7.4,4,14,2,2,1,55,4,10,80,22,2007,6,28,1
4,157.0,101.250416,7.5,3,14,3,2,2,43,6,10,65,30,2005,11,5,1
4,92.0,56.758411,6.2,2,12,7,1,2,63,6,9,33,27,2008,7,1,1
4,101.0,70.867401,6.9,5,9,6,1,1,68,8,10,13,23,2007,12,14,1
4,115.0,53.905592,6.7,4,10,6,3,1,23,6,11,32,115,2005,7,13,1
4,111.0,65.677399,7.5,4,19,2,1,1,96,6,9,23,56,2007,6,22,1
4,140.0,115.040024,7.5,3,27,6,2,3,43,4,11,113,137,2005,6,10,1
4,89.0,44.141021,6.2,2,17,1,1,3,52,4,5,42,6,2008,10,30,1
4,105.0,81.781591,5.9,5,5,6,2,1,46,9,7,42,16,2009,5,20,1
4,107.0,5.954334,6.2,4,8,8,1,1,27,3,5,63,8,2009,4,28,1
4,129.0,73.313918,6.4,4,36,4,2,2,31,8,10,22,25,2003,11,5,1
4,102.0,165.125366,7.3,3,14,2,1,1,66,11,8,56,25,2013,11,27,1
4,138.0,70.78591,6.7,4,26,5,2,1,159,3,10,74,23,2003,5,15,1
4,112.0,99.499595,6.8,3,10,1,1,1,66,4,10,43,40,2013,10,29,1
4,138.0,67.447636,6.5,2,13,4,2,6,43,0,11,47,107,2009,5,13,1
4,115.0,86.493424,6.6,3,15,1,1,1,62,4,11,32,30,2011,4,21,1
4,98.0,41.845878,6.3,4,8,1,1,1,49,6,9,16,156,2008,11,21,1
4,88.0,26.710398,5.1,5,2,3,1,1,64,5,6,21,15,2009,7,21,1
4,99.0,44.927635,5.5,1,11,5,2,1,77,3,10,18,31,2012,3,27,1
4,113.0,50.306728,5.7,2,15,7,2,1,35,5,8,25,18,2012,5,8,1
4,131.0,114.522237,7.1,3,9,7,2,3,28,4,11,75,112,2015,7,23,1
4,102.0,21.214571,5.5,3,5,3,1,1,36,10,9,14,47,2010,2,11,0
4,91.0,29.332905,5.7,4,11,3,1,1,55,4,9,25,21,2007,10,28,1
4,91.0,51.247321,6.7,2,6,1,1,1,122,6,8,32,23,2011,5,25,1
4,103.0,33.769336,4.7,4,16,5,1,1,36,4,3,21,3,2010,6,30,1
4,126.0,63.079003,6.5,3,37,7,3,6,40,4,10,13,26,2006,5,3,1
4,131.0,39.004588,6.4,3,4,4,1,1,77,7,10,21,22,2013,6,27,1
4,88.0,12.362599,5.5,3,8,1,1,1,20,5,4,12,7,2011,3,9,0
4,85.0,22.550135,6.0,4,7,2,2,1,44,3,9,15,34,2006,10,22,0
4,111.0,48.03528,5.9,3,7,4,1,1,66,5,9,19,22,2015,9,24,0
4,92.0,38.73494,6.7,3,23,4,1,1,30,6,6,51,11,2014,2,7,1
4,163.0,66.803149,6.9,3,21,6,3,1,95,10,11,20,124,2004,5,13,1
4,93.0,44.989192,6.4,2,2,1,1,3,140,13,7,12,15,2012,6,6,1
4,133.0,54.159392,5.8,3,4,1,2,7,43,4,3,21,7,2002,11,17,1
4,116.0,66.21806,5.3,3,4,7,1,1,29,5,11,75,100,2016,7,14,1
4,151.0,58.485967,6.4,4,17,3,1,2,75,9,11,67,108,1998,7,1,1
4,88.0,91.332849,6.0,4,13,4,1,1,109,4,11,23,147,2002,7,3,1
4,115.0,35.601665,5.5,3,16,4,1,1,18,3,11,30,60,2007,11,5,1
4,95.0,56.747978,6.7,5,12,4,2,1,28,6,6,34,34,2016,1,23,1
4,133.0,77.77477,6.8,3,7,6,3,5,103,6,9,16,28,2011,12,7,1
4,97.0,61.788035,7.1,3,8,1,1,2,39,3,5,16,10,2012,11,21,1
